GeoFIPS,GeoName,Region,Table,LineCode,IndustryClassification,Description,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
5000,Arkansas,5,CA30,160,...,    Per capita retirement and other 4/,3333,3513,3887,4122,4258,4569,4856,5264,5643,6250,6463,6914,7097,7174,7326,7869,8235,8589
5000,Arkansas,5,CA30,170,...,"  Per capita dividends, interest, and rent 4/",3883,4083,4127,4045,4103,4230,4671,5203,5903,6351,5671,5455,6465,7755,7025,8074,8683,8637
5000,Arkansas,5,CA30,180,...,  Earnings by place of work,42761743,44907085,46886056,47778741,51044530,54275176,56252792,58446435,60682223,61334502,59950548,61124953,63447098,66895723,69430865,71398872,72170453,73821729
5000,Arkansas,5,CA30,190,...,    Wages and salaries,30163014,31830512,32970649,33884535,35132010,37232210,39085532,41374318,43530515,44462871,44050521,44809396,46352048,47913742,48830491,50498002,52520711,53992614
5000,Arkansas,5,CA30,200,...,    Supplements to wages and salaries,6714682,7036094,7357912,7722529,8352985,8856294,9409008,9702853,10054464,10306322,10277956,10652424,10660647,11384645,11569284,11938451,11867550,12192456
5000,Arkansas,5,CA30,201,...,      Employer contributions for employee pension and insurance funds 5/,4299612,4501741,4774805,5084341,5608027,5982675,6402563,6509069,6753897,6875738,6845208,7087278,6925892,7558201,7709350,7933766,7752949,8093948
5000,Arkansas,5,CA30,202,...,      Employer contributions for government social insurance,2415070,2534353,2583107,2638188,2744958,2873619,3006445,3193784,3300567,3430584,3432748,3565146,3734755,3826444,3859934,4004685,4114601,4098508
5000,Arkansas,5,CA30,210,...,    Proprietors' income,5884047,6040479,6557495,6171677,7559535,8186672,7758252,7369264,7097244,6565309,5622071,5663133,6434403,7597336,9031090,8962419,7782192,7636659
5000,Arkansas,5,CA30,220,...,      Farm proprietors' income,1534539,1434102,1718712,987843,2124702,2456351,1618859,1242134,1592051,1392521,889900,494040,635179,1163373,2613945,2303666,1341054,974958
5000,Arkansas,5,CA30,230,...,      Nonfarm proprietors' income,4349508,4606377,4838783,5183834,5434833,5730321,6139393,6127130,5505193,5172788,4732171,5169093,5799224,6433963,6417145,6658753,6441138,6661701
5000,Arkansas,5,CA30,240,...,Total employment (number of jobs),1460654,1482460,1482555,1479211,1482751,1506375,1539221,1569569,1585581,1582628,1548156,1542601,1563702,1566172,1570034,1588357,1611276,1632609
5000,Arkansas,5,CA30,250,...,  Wage and salary employment,1194966,1210817,1207936,1203626,1203002,1217038,1234346,1259396,1261861,1262593,1226505,1221252,1225681,1230546,1232187,1244559,1265564,1280755
5000,Arkansas,5,CA30,260,...,  Proprietors employment,265688,271643,274619,275585,279749,289337,304875,310173,323720,320035,321651,321349,338021,335626,337847,343798,345712,351854
5000,Arkansas,5,CA30,270,...,    Farm proprietors employment 6/,49793,49482,49368,45977,44406,43420,42861,41518,43801,43258,42629,42259,41670,40690,40643,40119,39841,39361
